title,salary,company,location,work_address,brief_description,job_description,job_requirements,requirements,tags,company_info,company_description,link,page
ai产品经理,20-30K,某大型互联网视联平台央企公司,上海,,五险一金，法定节假日三薪，年终奖，节日福利，通讯补贴，定期体检，节假日加班费，带薪年假，加班补助，生日福利，补充医疗保险,"任职资格：
1. 本科及以上学历，3年及以上相关产品经理工作经验，最好有零售连锁行业SaaS或AI产品经验；
2. 对事物有极强的好奇心和求知欲，愿意追根问底，深入客户了解客户的诉求；
3. 熟悉产品设计，有一定审美，能以最简洁的路径使用户达成目标；逻辑性强，能从复杂场景中提炼关键信息。
4. 自我驱动，责任心强，不畏难，能够调动资源，想尽办法推进方案落地或问题解决。
工作职责：
1. 探索连锁消费行业的SaaS机会点，能将客户需求转化为高品质的产品设计或解决方案。负责产品0-1的落地和1-N的商业化规模增长；
2. 与销售一线保持紧密沟通，聚焦行业痛点和客户问题，能想尽一切办法拉通公司内、公司外的各类资源，促成问题的解决和交付；
3. 负责市场调研、客户调研、需求分析、竞品分析、产品设计、PRD撰写、技术方案选型、研发跟进、产品验收、发布、迭代、销售培训、商业模式设计，负责产品的全生命周期管理。
4. 与一线销售、客户紧密互动，保持对市场和需求的敏感性。
5. 持续进行产品线上数据分析，能以数据驱动推进产品的增长和付费率。",,"['3-5年', '本科']","['B端产品', 'C端产品', 'SaaS', 'Ai产品']","['互联网', '不需要融资', '1000-9999人']",,https://www.zhipin.com/job_detail/e400135a71e1d32a1H182t2-FldS.html?lid=4ZohD8BBYxo.search.1&securityId=09osfOLGk7xQC-o18qQGZus_tDRi6Y4s1olyfS6GYxH7jNNoJTxcmpV40noK-PD0QbkWFC9kjpT9RLkn1fMAFlYPVco44fwfwENqsha3xA5tqoyW1ltp1I45WqS1NFtbef4iDTA52-aD&sessionId=,1
产品经理（AIGC）,15-30K,上海淘李科技有限公司,上海·浦东新区·张江,上海浦东新区张江人工智能岛人工智能岛20号楼,,"[加分项]
1.、有从0到1搭建产品的经验;
2、有数字资产或中台工具相关工作经验;职位描述:
1.负责公司虚拟数字人视频场景设计，需求梳理，产品规划，产品设计，PRD输出;
2.按照产品规划，制定阶段性目标，协调各方面资源推动产品落地;
3.深入理解公司数字人技术能力和AI虚拟人产品，结合市场和用户的产品需求，推动视频创作。[任职要求]
1.本科及以上学历，建筑学、计算机等相关专业优先;
2.3年及以上的工具类产品工作经验;
3.熟悉产品设计或项目管理，能够独立承担产品规划与统筹工作;
4.熟练使用产品设计工具，如Axure，思维导图，visio等;
5.优秀的逻辑思维和系统分析能力，善于用产品思维解决问题;
6.良好的团队合作精神和沟通能力;
7.抗压能力强，善于学习新技术，对虚拟数字人产品充满热情。",,"['3-5年', '本科']","['B端产品', '机器学习类AI', '数据平台']","['人工智能', '0-20人']",,https://www.zhipin.com/job_detail/1837d54021c55f9a1H183965FFBQ.html?lid=4ZohD8BBYxo.search.2&securityId=8Xi5PMXLJUzxK-k1J4EVfoGZLIh3wFc1AdiWSW3FnG16jeIjoKXBq0TGgrlPkO1N10PF4kEuepGI31DzZUxnPpFWqvzj5fbW2747t3hmaiqjenhaByKtbdvKP3_8f2rIMwAI7AXNeNTJlQ~~&sessionId=,1
AI产品经理,15-25K,某大型计算机服务公司,上海,,,"岗位职责：
1. 负责软件产品在业务设计阶段的设计工作, 衔接需求分析成果彎应用设计需求 
2. 负责需求分析、竞品调研,架构设计、原型设计、数据设计、及相关文档编写; 
3. 负责产品生命周期管理、生态合作管理、产品设计评审、产品发布策划等工作; 
4、与产品研发人员协作, 支撑开发、测试、评审、上线、送代等工作; 
5. 与市场人员协作, 支撑解决方案、服务方案、产品方案等编写工作; 
6、负责数字化相关软件产品或平台研发;
岗位要求： 
1.年龄： 32以下 
2.学历：本科 
3.工作年限： 3年以上 
4.项目背景要求： 大型系统集成经验、数字化门 户、用户权限、项目管理、低代码、Al agent
加分项
有以下行业经验：人工智能·互联网·大数据",,"['经验不限', '本科']",['AI产品'],"['计算机服务', '不需要融资', '100-499人']",,https://www.zhipin.com/job_detail/9688fe84a46d0dfc1H180ti4E1VY.html?lid=4ZohD8BBYxo.search.3&securityId=xSigJAyQZNXuX-M1BuHHuSp2UGOCX_fw68kMIDkPS5v8hYUQ8zGClsXBkZyNOOg_9nK9A4v_LUOZDwvTrmUocC-aAAz2YDVYusoIP6m-kbACUxB_lfuhLETkREIf8aq58tEQGRhyWO-q&sessionId=,1
AI产品经理,22-35K,乐柠科技,上海·徐汇区·漕河泾,上海徐汇区新业大楼1号楼1113-1115室,五险一金，零食下午茶，带薪年假，节日福利，员工旅游，定期体检,"【需要你做的】
1.负责公司AIGC（语音与文字方向）产品的规划与设计。
2. 对AICG方向前沿动态持续跟踪，对相关产品进行进一步的体验、分析和拆解，定时整理并输出相关报告；
3. 协助项目管理，日常进度跟踪以确保产品功能特性和交互符合业务特性和目标；
4. 对负责的产品模块进行效果跟踪、数据分析、用户分析，并及时反馈到产品规划中。
【我们期望的】
1. 本科及以上学历，计算机信息或人工智能相关专业，2年以上IT产品或互联网相关软件产品设计实施工作经验，医疗软件产品类经验者优先;
2.具备较强的逻辑分析能力和平台产品设计能力，了解自然语言理解，知识图谱等AI技术；
3. 优秀的沟通、协调、组织、项目管理能力，缜密的逻辑思维能力，能与研发团队密切配合，持续优化产品用户体验；
4. 有AI方向产品相关工作经验，对AIGC方向保持高度关注者优先；
5. 对AI方向的创新应用持续探索，富有好奇心、自驱、自律，持续创造价值",,"['3-5年', '硕士']","['B端产品', 'AI机器人', '智能医疗']","['互联网', '未融资', '20-99人']",,https://www.zhipin.com/job_detail/7d6f9fbbfcc6b2071HJ-3t-7FlNX.html?lid=4ZohD8BBYxo.search.4&securityId=ToQbcYwH0uymI-51gkmFBzxnQmT-RfSL6B1glBFpYWMDm320o8viGU8euBTFBhS0mY96gLq1TWsdB9njNjTKMtcEs7hfg76gCGhezT1bb6tANoNLt-LQ3k_kd3wGp3SCN8owoMwJugI5YXGG3yD5Y1IEo6DrYOPo0cE0yZATf0n9424~&sessionId=,1
AI应用产品经理,20-30K,某中型互联网公司,上海,,,"工作职责
1. 探索连锁消费行业的SaaS机会点，能将客户需求转化为高品质的产品设计或解决方案。负责产品0-1的落地和1-N的商业化规模增长；
2. 与销售一线保持紧密沟通，聚焦行业痛点和客户问题，能想尽一切办法拉通公司内、公司外的各类资源，促成问题的解决和交付；
3. 负责市场调研、客户调研、需求分析、竞品分析、产品设计、PRD撰写、技术方案选型、研发跟进、产品验收、发布、迭代、销售培训、商业模式设计，负责产品的全生命周期管理。 
4. 与一线销售、客户紧密互动，保持对市场和需求的敏感性。
5. 持续进行产品线上数据分析，能以数据驱动推进产品的增长和付费率。
任职要求
1. 本科及以上学历，3年及以上相关产品经理工作经验，最好有零售连锁行业SaaS或AI产品经验；
2. 对事物有极强的好奇心和求知欲，愿意追根问底，深入客户了解客户的诉求；
3. 熟悉产品设计，有一定审美，能以最简洁的路径使用户达成目标；逻辑性强，能从复杂场景中提炼关键信息。 
4. 自我驱动，责任心强，不畏难，能够调动资源，想尽办法推进方案落地或问题解决。",,"['3-5年', '本科']","['AI产品经验', 'SaaS', '产品经理工作经验']","['互联网', '500-999人']",,https://www.zhipin.com/job_detail/f8e66d74254a2cc41H140ty_E1VV.html?lid=4ZohD8BBYxo.search.5&securityId=I4HoEYVmMX_3K-l1aB_R_IieYUFMLsvcgTubGVwQwFGo_Pmh_DH0WVYjSCpcCn4fhkxe5mtlj4VybT2H1SeEMdpbZm_tYMso6xyyI8H8YS6gkB-5RvfEc3qPGo8MmdTulI5RrGidsIFxyg~~&sessionId=,1
AI产品经理（幼儿园信息化工具）,15-20K,孩子通信息,上海·杨浦区·五角场,上海杨浦区汇智·鑫联园区A3栋4楼,五险一金，零食下午茶，节日福利，全勤奖，加班补助，餐补，交通补助，年终奖，带薪年假,"岗位描述：
负责研究如何利用AI技术为幼儿园赋能，并设计相关的产品和功能。该职位需要与我们的技术团队和客户紧密合作，确保产品符合市场需求，并具备创新性和实用性。
- 研究和分析AI技术在幼儿园信息化中的应用场景
- 设计并规划基于AI的产品和功能，提升幼儿园的教学和管理效率和幼儿场景化游戏或学习。
- 与技术团队合作，推进产品开发，确保项目按时交付
- 进行市场调研，收集用户反馈，持续优化产品
- 跟踪AI技术发展趋势，提出创新性的产品建议
任职要求：
1.计算机科学、人工智能或相关领域优先
2.3年以上AI产品设计或研发经验，具备教育科技领域经验者优先
3.熟悉机器学习、自然语言处理等AI技术，了解其在教育领域的应用
4.优秀的产品规划和项目管理能力，能够独立领导产品从概念到落地的全过程
5.良好的沟通和团队合作能力，能够与技术团队和客户有效协作",,"['3-5年', '本科']","['B端产品', 'C端产品', '视觉类AI']","['互联网', '未融资', '100-499人']",,https://www.zhipin.com/job_detail/7bfd83bf1b8bfa8b1HJ53du6FVZZ.html?lid=4ZohD8BBYxo.search.6&securityId=NpPBJrJDot5lC-g1FUnSk-c--ZgROfla4BQewqVREJGUjgDwer_5k4jtqEk3ea5fKB1OyTIyo-Y_WSObEMQ5Y0GQ-_3z9rpF-EpEn5F-YntIeZlVGLtVpp4zPGogBUCNgdMIluAF&sessionId=,1
数据产品经理-B端,18-25K,诚迈科技,上海·徐汇区·漕河泾,上海徐汇区众腾大厦2号楼,团建聚餐，交通补助，法定节假日三薪，定期体检，通讯补贴，免费班车，节日福利，五险一金，餐补，带薪年假，员工旅游，加班补助,"工作职责：
1、扩展与完善数据产品的功能，推进产品化智能化改造，并持续优化体验
2、协同数据产品与内部应用和外部应用的数据对接、互联互通
3、与业务深入沟通，通过分析客户需求规划产品发展方向，与业务和技术部门沟通协同，确保数据产品落地的有效性和可操作性
4、负责产品培训，持续关注使用效果和业务发展方向，快速迭代版本负责产品的管理手册、用户手册、白皮书等文档的编写 
任职要求：
1、本科及以上学历，至少3年数据产品管理经验，特别是在CDP、AI智能、业务-诊断系统等B端数据应用产品设计方面有优先经验
2、具备优秀的沟通技巧和表达能力，工作主动性强，乐于不断学习和提升自我
3、熟练使用原型设计工具，熟悉Agile和Scrum开发流程
4、积极主动，不断学习和掌握行业及产品线新的数据技术、工具和方法，以及相关的业务知识，保持对行业的敏锐洞察力，持续提升自身的专业素养和综合能力
5、具备较强的应变能力和创新思维，在复杂的业务场景中找到有效的产品解决方案",,"['3-5年', '本科']","['产品设计', 'TO B', '大数据产品', 'B端产品']","['互联网', '已上市', '1000-9999人']",,https://www.zhipin.com/job_detail/c71de9d987cd6a091H1z3Ny8E1ZU.html?lid=4ZohD8BBYxo.search.7&securityId=KUvbtEmyK3eu_-n1XOplv_C-RlC0mLWx6dwOPGaSDbMwLhjnjjjeuCnK_EfUujdL25c7lzrvEPLeDNUxo2MynJVe5BfME9ZhCW1p2FYkn4nskJLidALGe4rpOtLxj95Y61SOhW65&sessionId=,1
AI for Science项目经理,20-30K·15薪,上海人工智能创新中心,上海·徐汇区·龙华,上海徐汇区西岸国际人工智能中心37-38F,五险一金，年终奖，带薪年假，交通补助，节日福利，住房补贴，平台好,"岗位职责：
1. 负责技团队重点研发项目工作推进，制定项目计划、推进项目执行、日常项目跟进、监控项目风险，确保目标达成；
2. 统筹项目资源（设备、算力、人力等），发挥有限资源的最大化效益；
3. 制定科研项目标准化立项与交付全流程，组织项目书撰写、阶段性检查、结题验收等工作；
4. 支撑开展人工智能产业、科研等决策研究，参与相关文件的起草编制等；
5. 协助策划、组织和实施科研侧的内外部会议、活动及大型赛事，包括但不限于政府、科研院所、产业界；
6. 管理并跟进与重点企业、机构的合作，支持研究团队与外部沟通交流；
7. 负责项目成果发布宣传工作，包括但不限于组织、跟踪、材料收集、对外链接、想法提出等；
8. 协助项目团队组建，制定研发型项目管理方案与配套全流程，提升研发项目工作效率；
9. 协助进行团队内部管理，进行团队建设，完善团队内部管理流程，并持续优化；
职位要求：
1. 硕士及以上学历，工科背景优先；
2. 2年以上相关工作经验，熟悉项目管理/互联网/AI产品技术等，具有较好的业务、技术理解力;
3. 对项目管理流程搭建和优化，对产研效能分析和提效有相关思考和实际经验；
4. 有生态拓展经验优先，有政府机关、科研事业单位、大型企业等相关工作经验的复合型人才优先；
5. 自驱，自律，具有较强的责任心，抗压能力强，擅长以目标导向的落地执行、问题解决;
6. 性格开朗，优秀的人际交往、沟通协调能力，具有良好的团队合作精神，能够积极配合相关方的工作；
7. 具备出色的公文写作能力，能够撰写各类申报材料和报告。
加分项
有以下行业经验：互联网",,"['3-5年', '硕士']","['企业内部技术项目管理', '计算机相关专业', '', '', '', '']","['计算机软件', '未融资', '500-999人']",,https://www.zhipin.com/job_detail/60162ea185e2d48b1HF83dm7FFNT.html?lid=4ZohD8BBYxo.search.8&securityId=74SX_VMzQJ6W6-l1a8AjofZdDpgPlHK1zPcHOjSH76ZjGqNCzMMnG65BfqgO75V3PmbcTBmmeUg9KGSDlGtdiruDs5W23_pLvuq5JWEUD9n-DTX7djpXXMmCkgLv_3hIOHVihYygsXqe&sessionId=,1
AI产品经理（建筑专业）,18-35K·13薪,知末,上海·浦东新区·临港,上海浦东新区临港·陆家嘴广场888号,带薪年假，员工旅游，补充医疗保险，股票期权，交通补助，加班补助，五险一金，通讯补贴，定期体检，零食下午茶，节日福利，公积金全额，年终奖,"本岗位不一定要具有产品经理工作经验（有产品经验更好），但是需要建筑专业毕业，并且熟悉建筑全流程，有兴趣转向互联网行业
岗位职责：
1.负责公司网站建筑，AI相关板块产品规划工作
2.对 AI 技术在建筑室内设计领域的应用有深入的了解和浓厚的兴趣。
任职要求：
1、211、985硕士一年以上相关经验，建筑室内设计专业相关优先；
2、具备 2 年以上建筑室内设计或相关领域工作经验，熟悉建筑室内设计的流程和规范，对设计内容、用户研究、数据分析感兴趣；
3、具备清晰的逻辑思维能力，有较强的数据分析能力；
4、工作严谨且具备优秀的沟通能力、学习能力、执行能力、组织协调统筹能力；",,"['3-5年', '硕士']","['C端产品', '建筑专业']","['互联网', '不需要融资', '100-499人']",,https://www.zhipin.com/job_detail/7e12dd5ac2dc9a391HB439S9FltS.html?lid=4ZohD8BBYxo.search.9&securityId=iClV66XoFLcAr-41mGvOtTUUMtCecIzEnqiBkuNmD5gQBTzfLe_aO_d1ckfh9cu2cFFwjLP2Zi7t4rhatNOXHBDMRVxnF1aJkkVp2USPmb-a2wvNXCqdGckiCsnkIfRpW6jwV1A~&sessionId=,1
ai产品经理,20-40K·16薪,某大型互联网公司,上海,,五险一金，补充医疗保险，零食下午茶，员工旅游，交通补助，节日福利，定期体检，餐补，年终奖，加班补助，补充公积金，通讯补贴，带薪年假,"职位描述：
您将专注于设计和优化大模型平台，同时高效承接并转化各类AI应用需求，助力公司产品线智能化升级。作为团队的关键成员，您将负责从需求调研、产品设计到市场验证的全过程，确保我们的AI解决方案能够精准对接业务需求，推动业务增长。
主要职责：
 0. 大模型平台设计与优化：
 • 负责设计并持续优化大模型平台架构，确保模型训练、推理加速、数据管理、API接口服务等核心模块的高效运行。
 • 深入探索AI技术前沿，引入最新算法和技术优化手段，提升平台性能和用户体验。
 • 制定并实施平台发展路线图，确保平台功能迭代符合公司战略方向和市场需求。
 0. AI应用需求承接与转化：
 • 与业务部门紧密合作，深入理解业务团队对AI应用的具体需求。
 • 将客户需求转化为详细的产品需求文档（PRD），明确功能要求、性能指标和用户体验要求。
 • 协调内外部资源，包括研发团队、数据科学家等，确保项目按时、高质量交付。
 0. 产品规划与迭代管理：
 • 基于市场趋势、竞品分析及用户反馈，制定详细的产品规划，包括新功能开发、现有功能优化等。
 • 管理产品生命周期，包括需求收集、优先级排序、版本规划、发布策略等，确保产品持续迭代进化。
 0. 市场洞察与策略制定：
 • 持续跟踪AI行业动态，分析市场趋势，预测未来发展方向，为公司战略决策提供信息支持。
 • 制定并执行产品市场推广策略，包括产品定位、卖点提炼等，提升产品知名度和市场占有率。
 0. 团队协作与领导力：
 • 领导跨部门项目团队，促进有效沟通与协作，确保项目目标的顺利达成。
 • 培养团队成员的AI产品思维，提升团队整体的产品设计与开发能力。
任职要求：
 • 计算机科学、信息技术、统计学或相关领域本科及以上学历。
 • 5年以上AI产品管理经验，有大模型平台设计或AI应用项目案例者优先。
 • 精通产品管理工具，熟悉AI技术栈（如TensorFlow、PyTorch等）及主流云服务。
 • 具备出色的数据分析能力和解决问题的能力，能够基于数据做出决策。
 • 强大的沟通协调能力，能够跨部门合作，有效推进项目。
        •       优秀的创新思维和学习能力，能够快速适应变化，持续推动产品进化。",,"['3-5年', '本科']","['B端产品', 'ai', '人工智能']","['互联网', '不需要融资', '1000-9999人']",,https://www.zhipin.com/job_detail/f68ea6a6af14b2821H153ti4F1RV.html?lid=4ZohD8BBYxo.search.10&securityId=ilAxHuTgDsyOz-o1eolAtwPEo2Qp5uJHZMcJnt95fgJ2hCU5pibhoMERkDXsHfpdueg5FwGQFa1Utgs3sbJhJosW9YATg7Nzykjh4rmNJLM4dmpJSa-EuNUDQ0O7cMxa-2Gyy-Ud&sessionId=,1
