title,salary,company,location,work_address,brief_description,job_description,job_requirements,requirements,tags,company_info,company_description,link,page
大模型AI产品经理,15-30K,某大型运营商/增值服务公司,北京,,,"岗位职责：
1.负责与终端产品结合的AI应用产品设计、场景搭建，以用户为导向探寻并设计使用场景。
2.协同算法开发团队，保障AI应用产品方案高质量实施和落地。熟悉CoT，提示词工程，智能体产品设计等。
3.负责大模型在终端侧落地应用的需求调研、需求挖掘等，结合长期产品发展战略及公司战略规划持续打磨产品。
4.为AI应用的质量负责，具体包括测评标准搭建、持续提出改进建议和需求等。
5.对AI产品有深刻的理解，及时掌握行业动态，为产品创新提供思路。
任职要求：
【教育背景】全日制本科以上学历
【知识技能】熟练使用AxureRP、Mindmanager、Visio、墨刀、office等软件。
【其他】有大局观，能够和产品、技术顺畅配合；逻辑清晰，洞察力强，善于数据分析；自驱力强，目标感强，善于推动工作前进。有过互联网从业经验者优先考虑。",,"['3-5年', '本科']","['C端产品', '用户/功能产品', 'AI应用产品设计']","['运营商/增值服务', '不需要融资', '']",,https://www.zhipin.com/job_detail/b78631cb2d568f821HNz29y7GFRT.html?lid=4YG3mkH2e36.search.1&securityId=SHyTSRN48YifM-V19MRHkcuNWIrZJalR0E7lKSoODckTrJ-ahB228NBsfDmaPD76q-guQElhAh18F-z0oUpJSU1KEGqzxo6RoFNGMI_9ZJ6JK6VKcpU9mKkJlFq2dz35Y4we5Gg0wmcvDQX8MBoGl66KSdpXGZrNaoovFaujCOTblaFg&sessionId=,1
AI产品经理,14-26K·14薪,璞元科技,北京·朝阳区·大望路,北京朝阳区树院文创园3号楼3层,节日福利，AI技术分享，生日福利，带薪年假，五险一金，年终奖，零食下午茶，免费工作餐,"岗位职责：
1. 负责参与设计基于AI大模型的金融产品，为企业提供金融的智能化分析工具
2. 分析客户的业务，收集并分析客户场景中的需求，同时对行业、竞品进行调研;
3. 对业务进行分析，不断优化产品的策略，对产品的增长负责；
4. 协调产品各协作方，推进技术团队完成产品技术方案，确保产品的开发进度和质量 ，保证产品功能顺利发布上线；
5. 持续监控和分析产品上线后的用户反馈和数据分析结果，确定改进方案; 
任职要求：
1. 本科及以上学历，参与过AI相关的产品或者项目者优先；
2. 对AI有比较深的了解和比较浓厚的兴趣，了解现在常见的LLM，了解RAG或相关领域的技术； 
3. 学习能力强，能够主动学习，能够快速掌握新的知识和技术；
4. 良好的逻辑思维、抽象沟通协调能力和团队协作意识；
5. 责任心强，良好的自我管理能力，强执行落地力；
6. 愿意接受挑战，能较大压力下保持工作激情；",,"['1-3年', '本科']","['AI产品', '金融科技', '大模型']","['计算机软件', '天使轮', '20-99人']",,https://www.zhipin.com/job_detail/bb86bec8d7e072951HV629m-GVFW.html?lid=4YG3mkH2e36.search.2&securityId=Aydrh2lttYsCJ-k164trD5gqKjnaTTxRI2A9J9MI1D20U3Aq1_Rw21wz4-pgbeQkUwRikkdvjsJsR0SU-c7vRgWZAHN51E-3Bsk93twrsowqp79iMm1P3ogVe-K7AZyEyeynvAz4dHg~&sessionId=,1
AI产品经理,20-40K·16薪,腾讯,北京·海淀区·西北旺,北京海淀区腾讯北京总部大楼西北旺东路10号,包吃，公仔周边活动，零食下午茶，通讯补贴，免费早晚餐，补充医疗保险，免费班车，节日福利，带薪年假，五险一金，定期体检，股票期权，团建聚餐，住房补贴，员工旅游，餐补，Q 米，免费健身房，交通补助，年终奖,"工作职责：
1、负责公司人工智能（语音、NLP等）方向的产品规划，分析用户需求，定义并设计产品功能；
2、能敏锐挖掘内部合作部门或外部客户的需求痛点，分析提炼应用场景需求共性，持续进行产品优化和迭代；
3、负责产品的运营工作，包括对内的资源管理以及对外的市场推广；
4、 协调算法、设计、开发、测试团队，按计划完成各项工作，把控项目进度和交付质量；
任职要求：
1、全日制本科及以上学历，3年以上产品经理任职经验；
2、对语音、NLP等领域的AI相关知识有所了解。有计算机、AI专业背景或从业经历优先；
3、对音视频内容创作、短视频、有声书场景有所了解，对 toC场景和产品有一定理解，有相关从业经历更佳；
4、优秀的沟通能力、积极主动，有高度的责任心，在问题拆解及解决、团队协作、项目管理等方面，具有出色的产品意识和综合素养；
5、具备较强的产品规划、需求分析、产品设计等专业能力；
6、扎实的产品设计功底，熟练axure、excel、ppt等产品经理常用工具；
加分项
有以下行业经验：互联网",,"['1-3年', '本科']","['Axure', '人工智能产品', '产品规划', '用户增长', 'TO C', 'TO B', '']","['互联网', '不需要融资', '10000人以上']",,https://www.zhipin.com/job_detail/aeb874e4636d12181XR82Nm6EVNT.html?lid=4YG3mkH2e36.search.3&securityId=DjwRIOJRbjhsr-61KqAzDqbcnyEYSdoHHzvOTQhzmpE1KETR_2Qb_vDakW_jau7FhIh7o62UmpRVxJts3iV1H60m-qIl8dHNSry5HNgKEzu4RePM_xOUcnYsArywQhBs-Xx0JP44Iesf&sessionId=,1
AI产品经理(双休、AI产品开发工作经验),18-23K,爱基因鑫享,北京·朝阳区·CBD,北京朝阳区和乔大厦C座1211室,绩效奖金，高温补贴，带薪年假，餐补，年终奖，节日福利，生日福利，孝心基金，定期体检，底薪加提成，员工旅游，零食下午茶，五险一金，团建聚餐,"一、【岗位职责】：
1. 负责从实际的垂直行业应用场景和用户需求反馈，基于公司底层AI引擎进行产品和解决方案设计、市场验证和标杆项目打造；
2、了解用户需求，挖掘客户行业痛点，掌握竞争对手动态和市场动态，结合公司战略目标确定产品定位和发展规划；
3、负责AI产品开发项目管理，产品、解决方案及项目定制开发的测试及交付；
4、整体把控行业AI产品，并在项目中优化产品方向及迭代产品。
二、【任职要求】：
1.本科及以上学历，计算机科学、软件工程、生物医学工程、医学信息学等相关专业优先。
2.有两年以上产品管理工作经验，其中至少[两年以上医疗健康行业或AI产品相关工作经验。
3.熟悉医疗健康行业业务流程和相关知识，了解常见的医疗数据类型(如电子病历、医学影像、检验报告等)和应用场景。
4.精通 Al 技术原理和应用，包括机器学习、深度学习、自然语言处理等，能够与技术团队进行有效的沟通和协作。
5.熟练掌握产品管理工具，如 Axure、Jira、Confluence等，具备良好的文档撰写能力；具备较强的数据分析能力，能够使用数据分析工具(如 SQL、Excel、Python 数据分析库等)对产品数据进行分析和解读。
三、【能力素质】：
1.具有较强的沟通协调能力，能够与跨部门团队、外部客户和合作伙伴进行有效的沟通和协调。
2.具备较强的问题解决能力，能够在复杂的业务和技术环境中迅速定位问题并提出有效的解决方案。
3.具有创新精神和敏锐的市场洞察力，能够把握医疗健康行业 A 产品的发展趋势和市场需求。
4.具备良好的项目管理能力，能够有效管理产品的开发周期和资源分配，确保项目按时交付。
5.具有较强的抗压能力，能够在高强度的工作环境下完成工作任务。
四、【薪资福利】：
1.薪酬：18K-23K
2.福利：入职缴纳五险一金，法定节假日正常放假，餐补20元/工作日，转正后享受1000元/月孝心基金，5-9月防暑降温费200元，年终奖，每年组织一次全面健康体检（员工0费用），中秋礼博，春节发礼包，每年固定发放过节费，不定时举办下午茶，外出团建活动......
五、【工作时间】：
9:00-18:00，双休。",,"['3-5年', '本科']","['B端产品', 'C端产品', '智能医疗']","['医疗健康', '未融资', '20-99人']",,https://www.zhipin.com/job_detail/7863b31df762066f1H1_3Nq6FFpU.html?lid=4YG3mkH2e36.search.4&securityId=mKCTQoOSqwSs_-h1lqPcZPMJSRyYjLuGEItO3vMSzYDZjEPaOjveXgmgOQgeFLGPQeaJtAqVnLzNpvf3lHKWSxBqIyp0wTxMGNJ2dm7065DFFxczs45yrwJnv5BbK_7gAZBk5cFPB8ai&sessionId=,1
ai产品经理,18-28K,开心灿烂,北京·海淀区·苏州桥,北京海淀区长远天地大厦A座长远天地大厦A1座12B06,员工旅游，绩效奖金，补充医疗保险，加班补助，带薪年假，股票期权，有无线网，餐补，团建聚餐，生日福利，全勤奖，交通补助，节日福利，年终奖，五险一金，零食下午茶，通讯补贴，定期体检,"岗位职责：
1、产品经理负责海外AI社交APP的需求分析、产品优化及测试任务；
2、产品经理负责竞品分析，用户数据分析，整理优化方案，提高用户转化率；
3、产品经理负责产品的体验优化、交互设计优化；
4、推进产品迭代，负责与市场、设计、研发等部门沟通协作；
5、有数据分析能力，可以做好产品的功能数据回归。
职位要求：
1、本科及以上学历，计算机、心理学、设计及相关专业毕业；
2、聪明且踏实落地、人靠谱、有勇气敢为人先；
3、有强烈的好奇心、对人性有深刻的洞察；
4、有强烈的自我驱动能力和企图心，抗压抗噪；
5、能熟练使用AXURE、XMIND等办公软件；
6、具有良好的沟通协调能力、思想活跃
岗位福利：
体检保健：为保证员工健康状况，每年公司统一安排年度体检。
七险一金：员工转正后享有补充医疗保险和商业保险。
奖金设置：里程碑奖金、突破奖金等
员工培训：公司定期组织知识培训、技能培训、管理培训等。
团队建设：定期组织野外郊游、团队拓展、部门聚餐等团队活动，增强团队凝聚力。
婚育礼物：每位员工结婚、生育享有福利礼品或津贴
免费零食：零食不间断
加分项
有以下行业经验：互联网·游戏·社交网络与媒体",,"['5-10年', '本科']","['C端产品', 'AI产品', '社交产品']","['游戏', 'A轮', '100-499人']",,https://www.zhipin.com/job_detail/c4b4887fa7149ffb1HNy3ti0FVVV.html?lid=4YG3mkH2e36.search.5&securityId=2n7reV2blKOAl-y1P2OJaJenCS7wwYhYWL6ZGVFMvmy4qUDQWiqCEccMAG0pAKe5qx9B9Qqn5JKuRev26El4uS2PEo6Ml0FpcL3BBRHNTltndQctNdLrGkxt9YNBLRFRyDtYyEtNcE0~&sessionId=,1
AI产品经理（智能客服）,20-30K·14薪,BOSS直聘,北京·朝阳区·太阳宫,北京朝阳区冠捷大厦(太阳宫中路)10层,员工旅游，节日福利，餐补，年终奖，股票期权，住房补贴，补充医疗保险，带薪年假，交通补助，加班补助，定期体检,"岗位职责
1、负责智能客服系统建设：系统规划、功能设计、实施验收、效果迭代；
2、通过构建和完善智能客服指标体系，不断优化产品性能，提高智能客服服务能力
3、支持各业务方的需求在智能客服场景中落地
4、探索AI产品在销服领域的应用场景，挖掘新的用户需求，推动产品实现和改进
任职要求
1、3-5年客服系统、智能客服、对话机器人、AI经验；
2、具备良好的逻辑能力、结构化思维能力和系统规划设计能力；
3、数据敏感、业务sense良好、有较强的发现问题和解决问题能力
4、自我驱动，延迟满足，细心耐心。",,"['1-3年', '本科']","['功能产品', '人工智能产品', '对话产品', 'B端产品']","['人力资源服务', '已上市', '1000-9999人']",,https://www.zhipin.com/job_detail/57fb7876c216e6f21XV639q4FFtQ.html?lid=4YG3mkH2e36.search.6&securityId=BfK2sbhQ3IKOr-71LejczyTzzxvGSE36brffx1-GJ64sqna3L4FDal5m6ewW2HT6G2Tg_CaZ6PzOv5mRSA_iuXZG3MNh1PxSIKH-7t2D1g8YhlVcx-F9-65-WLo3ep3G9I-e&sessionId=,1
AI产品经理,20-40K,某大型运营商/增值服务公司,北京,,,"1.负责与终端产品结合的AI应用产品设计、场景搭建，以用户为导向探寻并设计使用场景。
2.协同算法开发团队，保障AI应用产品方案高质量实施和落地。熟悉CoT，提示词工程，智能体产品设计等。
3.负责大模型在终端侧落地应用的需求调研、需求挖掘等，结合长期产品发展战略及公司战略规划持续打磨产品。
4.为AI应用的质量负责，具体包括测评标准搭建、持续提出改进建议和需求等。
5.对AI产品有深刻的理解，及时掌握行业动态，为产品创新提供思路。",,"['3-5年', '硕士']","['语义类AI', '机器学习类AI', '智能家居', 'B端产品', 'C端产品']","['运营商/增值服务', '不需要融资', '']",,https://www.zhipin.com/job_detail/120edd1061a58cfe1H1z3Ni4FVtZ.html?lid=4YG3mkH2e36.search.7&securityId=AzCltlXLSrl6T-O16FnDqudz_WqZulgYauF2lL9pr7h9-AdSaTd6zNzAJFQ85HgNdHaC4JY1Ax96nBeTt2HZcEhnin3G2r7U2KDMcRAejuQHcNyQvKtf5kbl6hHdAHdyIcStSbLp0bBs&sessionId=,1
【急招】产品经理（AI方向）,15-30K·16薪,北京字节跳动,北京·朝阳区·西坝河,北京朝阳区融中心B座1,零食下午茶，就近租房补贴，节日福利，弹性工作制，交通补助，餐饮及下午茶，住房补贴，意外险，五险一金，年度体检，绩效奖金，团建聚餐，餐补，包吃，定期体检，补充医疗保险，节日礼品，年终奖，家庭关爱假，带薪年假,"1、负责AI工具产品和中后台系统的产品建设；
2、制定高质量的产品设计方案，合理的迭代节奏和版本计划；
3、准确把握项目目标，协调各方资源，跟进项目进展，保障高质量交付和目标达成；
4、深刻理解AI前沿技术的用户需求、发展趋势和竞品动向，制定产品规划。",,"['经验不限', '本科']","['C端产品', 'B端产品']","['互联网', '不需要融资', '10000人以上']",,https://www.zhipin.com/job_detail/0291909d2d3303301HR52du9GFVW.html?lid=4YG3mkH2e36.search.8&securityId=IpybHvvSaxHqY-K1S4dteKZezIZ6fK9_gn3MHUnlZmD5JCaoow8iAMMNceHEhrGOcp71mxtyciHVwbCf8aHG7ViI9GYgpva0qri1SBdAK-S6DrnSAznEdBlDyD4Moy9koyp65O-irgo~&sessionId=,1
AI产品经理,20-30K,某小型企业服务公司,北京,,,"岗位职责：
1、负责大模型训练推理平台和算力管理调度平台的产品定义、PRD撰写、竞品调研等工作；
2、对接客户需求，解答客户疑问，有针对性的产出对应的方案；
3、创作产品对外的介绍材料；
4、参与核心项目的poc和交付相关工作；
任职要求：
1、本科及以上学历，计算机相关专业，985/211优先，2年以上产品经理相关工作经验，有大型项目经历；
2、对大模型算法的预训练、微调、强化学习有较深的认识；
3、对算力的不同型号的配置参数/性能指标、K8s等有一定的认识；
4、逻辑思维清晰，学习能力强，可以承受较⼤⼯作压⼒，善于沟通，有强烈的进取精神和清晰的目标导向。",,"['3-5年', '本科']","['B端产品', 'G端产品/政务产品', '大模型']","['企业服务', '20-99人']",,https://www.zhipin.com/job_detail/1d16bccdd1fa943b1H172928EVdY.html?lid=4YG3mkH2e36.search.9&securityId=1KiYzFHx7ve7y-d1o7dmpotJLFhmeBSqT9eBVoxb-P5gZwOthWnge59FI7ZL_7MDcR2BXDfcOytegeIaHcZCfsmgECayIcZ9vWrIIX2EIaHuP91vrpLnFccB6aVxJHVP7x7df18mbdgYaA~~&sessionId=,1
AI产品经理（B端）,20-40K·14薪,格灵深瞳,北京,北京海淀区中关村科学城·东升科技园8-10层,五险一金，补充医疗保险，定期体检，年终奖，股票期权，餐补，交通补助，带薪年假,"【岗位职责】
1. 负责AI开放平台、大模型训推产品的行业分析、需求调研、产品规划，
2. 负责产品原型设计及敏捷开发进度管理
3. 产品中长期目标制定并负责推进具体方案落地及目标达成
4. 与研发、算法团队紧密合作，跟踪产品开发进度和上线效果，并持续改进产品 
【任职要求】
1. 统招本科以上学历，相关AI、算法产品工作经验
2. 具有AI中台相关产品经验
3. 具备产品规划能力，主导产品方向和制定长期规划；有独立承担需求沟通、业务架构设计，原型设计、实施上线，产品运营等全生命周期的工作经验
4. 有工作热情，具有良好沟通能力和团队合作精神",,"['3-5年', '本科']","['B端产品', '视觉类AI']","['计算机软件', '已上市', '500-999人']",,https://www.zhipin.com/job_detail/708cc384c3fb30131H1y09W0GVJS.html?lid=4YG3mkH2e36.search.10&securityId=330201786hSNT-z1kB4oCD8ojsOfTdyeUA8tFQ7IayIMDyrk_yK0YO40e82DNnrjpzeySFJavmc4Eva2t3Nq2E49wVWBu772VRVC7TSbrg9BEneK_VFj7rRUyJkq5dl0dft5yBeNBtUG&sessionId=,1
