title,salary,company,location,work_address,brief_description,job_description,job_requirements,requirements,tags,company_info,company_description,link,page
ai产品经理,25-30K·13薪,筑愿科技,广州·越秀区·环市东,广州越秀区农林下路81号大院19b1,生日福利，夜班补助，五险一金，交通补助，法定节假日三薪，补充医疗保险，定期体检，通讯补贴，绩效奖金，全勤奖，年终奖，企业年金，意外险，免费工装，高温补贴，加班补助，节假日加班费，工龄奖，免费班车，节日福利,"岗位职责：
1、负责公司算法类产品项目规划和推动，对AI相关产品（人脸/活体/OCR/NLP/等）的市场调研、竞品收集与分析、客户需求沟通对接及相应支持；
2、由高度的数据敏感性，理解数据、挖掘用户需求、持续提升产品的价值和用户体验；
3、负责制定产品功能流程和产品原型，编写产品全生命周期文档；
4、深入理解业务、与算法研究、研发、测试、销售等团队紧密协作，协调推进项目、完成产品（项目）目标；
5、产品运营、宣传、技术材料撰写以及持续跟踪改进优化、策略改进、数据补充、迭代，打造有竞争力的产品；
6、根据产品在不同行业的应用，深入了解业务流程与用户痛点，结合公司其他产品线，完成行业性解决方案。
任职要求：
1、本科及以上学历，计算机类、电子信息、自动化相关专业，有一定编程基础（至少一种开发语言JAVA、Python等），对算法应用有一定了解，对数据敏感，可完成基础数据分析相关工作；
2、掌握人脸识别业务流程、熟悉人脸活体安全及识别算法的评价指标，熟悉产品开发流程；有人脸识别等人工智能的开发经验者优先；
3、熟悉AI和产品设计规范，了解主流市场产品基本安全及性能要求，具备技术理解能力以及技术方案编制能力；
4、具有优秀的跨平台产品规划与设计能力（APP/H5/小程序/后台），可独立负责产品需求分析，设计和推动项目达成目标；
5、熟练使用Word、Excel、PPT等办公软件以及Visio、Xmind、Axure等其他交互设计工具；
6、有较强的文字能力，良好的沟通表达能力，观察分析能力，市场判断能力，高度热情，较强耐压能力，项目推动能力，学习能力强、自我驱动力强，紧跟深度学习的发展动态。",,"['1-3年', '本科']","['语义类AI', 'B端产品', '智能穿戴', '智能医疗', 'AI机器人', '', '', '']","['计算机软件', '不需要融资', '100-499人']",,https://www.zhipin.com/job_detail/d35fb1a6513bd5731XJ73di-FFdY.html?lid=4XV8jKFb6j0.search.1&securityId=CQbfXcgX4cJ4y-h10tS8m_1UPSf93jb1AqB7L2d4K3t-R4YwgEHVTJoEIwck_BJFO7AQuii9hXUk_aFZ_f9Ql8_f-pC29WIA7XM9z7NcsTdZIIjVJxkgA4SKWHn8WeJmRKVETJbjLChATg~~&sessionId=,1
AI产品经理,25-35K·16薪,某大型互联网技术服务上市公司,广州,,免费班车，带薪年假，补充医疗保险，节日福利，包吃，年终奖，五险一金，定期体检，全勤奖,"岗位职责：
1.负责机器学习平台的建设，包括GPU管理、大模型管理和评测、MLops流程等。
2.负责AIGC在游戏生产、玩法、营销等场景的工具应用建设，包括:AI绘图、AI代码、LLMs应用、AI音视频生成等。
3.跟进业界动向，为公司引入前沿AI技术，促进AIGC在游戏场景的落地，推进产品规模化应用。
职位要求
1.大学本科以上学历，具备2年以上的平台工具策划经验。有大模型的实践经验者优先。
2.熟练使用Office、Axure等相关软件，具备基本的产品文档撰写功底和交互设计能力。
3.热爱AIGC相关技术，关注最新AIGC产品动态，熟悉掌握1-2个AIGC产品的使用方法。
4.擅长对用户和企业需求的产品理解和表达，有较强的数据和用户行为分析能力。",,"['3-5年', '本科']","['B端产品', 'AI产品', 'AIGC', '大模型']","['互联网', '已上市', '10000人以上']",,https://www.zhipin.com/job_detail/4e097a8d9ef26bb91H182tm6EFtS.html?lid=4XV8jKFb6j0.search.2&securityId=QrAUwVkO4MPqk-01MCSNQR_NnUeoJGU4-diCGtOChx0gmxj3v2IiUSKay9UjS_8LITjtTq1zhxVAiWGM5IgLP4oQdWN09Z1R4II-hK6uJqaM45MruGewvT3SVA7GqeVG8816lWk~&sessionId=,1
产品经理,23-35K·13薪,广州小迈,广州·天河区·体育中心,广州天河区太平洋金融大厦31层,零食下午茶，餐补，补充医疗保险，五险一金，业务利润分红，团建聚餐，带薪年假，股票期权，节日福利，生日福利，年终奖，员工旅游，定期体检,"【岗位职责】: 
1、负责自研c端产品（iap模式）的产品策略制定及需求落地，并进行竞品分析，对用户增长转化、付费率等关键指标负责；
2、负责产品增长调优，从数据中发现问题并及时调整优化策略；设计解决方案，并通过数据验证策略效果；
3、协调研发、测试、设计、运营等团队资源，保证产品按期上线，对产品效果负责；
【任职要求】: 
1、本科及以上学历，4年以上工作经验，有工具类产品、内容型产品等c端产品经验者优先，国内/海外不限； 
2、对数据敏感，产品思维清晰，具备一定的商业分析能力及数据分析能力；
3、具备良好的业务解读、目标拆解、竞品分析能力；
4、逻辑清晰，具有高度责任心，具备良好的抗压能力及团队协作能力。",,"['经验不限', '本科']","['C端产品', 'AI产品', '用户需求']","['互联网', 'B轮', '500-999人']",,https://www.zhipin.com/job_detail/3fbac5ba0f0bb1a21HJ939i_EldQ.html?lid=4XV8jKFb6j0.search.3&securityId=WUFJJwsXXfsrG-Z1EB_SZk_MNh4TjaJgTn39_vCXcnBy8XH73yFlldJi94YucwbKy5oOz53ziaOwp_p4dcj5BTrTUtyk653BQOzlVrdo6-drNpn2QFi5S2alXEXbLpckviz9iCCERLPGTvEWLyNkPawNCc9nsC_c81khr2pg4UFo4g~~&sessionId=,1
AIGC产品经理,20-25K,广东博研文化服务,广州·海珠区·琶洲,广州海珠区保利叁悦广场A塔510,五险一金，包住，带薪年假，包吃,"岗位职责：
我们正在寻找一位富有创新精神的AIGC产品经理，负责参与AIGC等AI产品策划，市场调研，跟进产品开发迭代，协同设计、研发、运营等团队推动方案落地;
对接行业专家和客户，收集反馈和建议，优化产品设计和功能。
参与产品推广和市场拓展，提升品牌知名度和市场占有率
岗位要求:
-本科及以上学历，计算机、人工智能相关专业优先，3年及以上AIGC或相关领域的产品经验;
-具备产品设计或相关领域的工作经验，对用户体验和用户研究有深入了解，有成功推出和持续运作产品的经历;
-对AI技术前沿有敏锐的洞察力，熟悉AIGC，人工智能大模型，喜欢挑战和尝试，逻辑思维严谨，对用户体验敏感；
-具备数据分析和解决问题的能力，能够通过数据驱动的方式做出决策和优化。
加分项
有成功推出过AIGC产品的经验。
具有技术背景或技术工作经验，能够与技术团队顺畅沟通。",,"['经验不限', '学历不限']","['B端产品', 'C端产品']","['文化艺术/娱乐', '不需要融资', '0-20人']",,https://www.zhipin.com/job_detail/782067005f732c871HB82Ni9EVBV.html?lid=4XV8jKFb6j0.search.4&securityId=OAKtNSpKrYnYg-n1cLtvkh5OZ410LtS_8Sl4n0y9JHCCtbw4D5q733bWXTTRDK3UWqsrXcZ-nXdpO_-hemPo0M6mJVUMtYrm-3Kk_vXra14KUJ6rjt4Z72HiGWinikMnbB4k26UKQrmU&sessionId=,1
ai产品经理,15-25K,广州诚天诚信息发展,广州·海珠区·客村,广州海珠区广州大道南368号,绩效奖金，团建聚餐，意外险，员工旅游，带薪年假，五险一金，定期体检，生日福利，补充医疗保险，餐补,"职责描述：
1.负责AI绘图平台的市场调研、竞争分析和用户需求分析，制定产品愿景和战略；
2.定义产品功能，创建详细的产品需求文档和原型设计；
3.与工程、设计和营销团队紧密合作，确保产品按时发布并符合质量标准；
4.管理和优化AI绘图工具的工作流程，包括搭建高效的ComfyUI工作流；
5.负责LoRA模型的训练和优化，提升AI绘图的质量和效率；
6.跟踪AI绘图技术的最新趋势，探索新功能和改进的机会。
任职要求：
1. 211本科及以上学历，3年+产品管理经验，有AI或游戏行业背景者优先；
2.熟悉AI绘图工具和技术，具备实际的AI绘图项目经验；
3.强大的项目管理能力，能够在快节奏的环境中管理多个项目；
4.出色的沟通和协调能力，能够与跨职能团队合作；
5.具备良好的数据分析能力，能够利用数据来指导产品决策。
加分项：
- 有成功领导AI产品从概念到市场的经验
- 熟悉游戏开发流程和工具，有游戏行业产品管理经验
- 具备LoRA模型训练经验，能够独立进行模型训练和优化
- 有搭建和优化ComfyUI工作流的经验
关于我们：
专注于AI绘图技术的创新项目，base广州海珠区，致力于为游戏行业提供尖端的原画绘制服务。
我们提供：
- 有竞争力的薪酬和股票期权
- 五险一金、定期体检、年终奖等福利
- 与行业顶尖人才合作的机会
- 个人成长和职业发展的支持",,"['经验不限', '本科']","['用户/功能产品', 'B端产品', 'C端产品', '泛娱乐', 'AI产品', '文生图', '']","['互联网', '不需要融资', '10000人以上']",,https://www.zhipin.com/job_detail/26c4d4cc1941e4a31Hx50967GVVY.html?lid=4XV8jKFb6j0.search.5&securityId=WXjPq4qKphb4r-Y1flgo0Aud7zrsSaI4TTSkT5DretdV3nOhYJWNbggewtKrI7HMDagqdWzc9tHPFxWykl9eYKZpi_7diCVCTGGgwYo_a43yQKg4BBypQ0uOICWMSiBuT2TofhDlTgMvjA~~&sessionId=,1
SaaS产品经理,18-30K·13薪,药师帮,广州·海珠区·赤岗,广州海珠区广州T.I.T创意园8号,节日福利，员工旅游，带薪年假，股票期权，五险一金,"工作职责:
1、负责公司诊所工具saas软件系统的产品设计，包括需求收集与分析、产品跟进、迭代与反馈；
2、挖掘小B端产品的用户价值，结合用户场景和需求提出产品合理业务流，给出可行需求方案并推行上线,对产品的活跃、漏斗转化等关键产品指标负责；
3、保证产品的快速推进和落地，协同销售、运营和产研团队完善产品，持续关注产品效果及优化迭代；
4、主动诊断及发现业务问题，能进行基本的数据分析，并提出改进方案。
任职资格:
1、本科及以上学历，3-6年工作经验；
2、有独立思考能力、快速学习能力，能深入理解业务；
3、数据驱动，有一定的基础数据分析能力；
4、有B端或C端从业经验，对用户体验有一定的敏感度；
5、有工具类或商业类SaaS工作经验优先，有医疗行业从业经验的优先。",,"['经验不限', '本科']","['B端产品', '产品', 'SaaS', 'ERP产品/软件产品']","['互联网', '已上市', '1000-9999人']",,https://www.zhipin.com/job_detail/1a1265d8ec9050ab1HR80ty7E1dS.html?lid=4XV8jKFb6j0.search.6&securityId=FqndY85csrUIn-c1ytxVU9LBSDl9nz3Jo-lVvX7zfGyZ6BwgQ0iic3hSxOK0aFDxrsna6dKMv6npNBii8BrZPScXM2zaB47UzPcGnfFIA9QiA0rwQKT0Xels0Dq3MeXpkssLG7orug~~&sessionId=,1
AI 产品经理,15-30K,中能拾贝,广州·黄埔区·大沙,广州黄埔区云升科学园D栋805,意外险，团建聚餐，零食下午茶，高温补贴，五险一金，股票期权，年终奖，定期体检，员工旅游，节日福利，绩效奖金，生日福利，带薪年假，包吃，年度体检,"岗位职责：
1、完成产品从立项到发布整个过程的架构设计、需求分析、规划设计、迭代管理、交付培训等工作；
2、负责组织并完成需求管理，包括市场&客户调研、竞品分析、需求收集、需求分析、功能提炼、方案设计等，并输出相应交付物。
任职资格：
1、全日制本科以上学历，计算机、自动化、电子、电气等相关专业等优先；
2、 5年以上产品经理/产品咨询/产品方案相关工作经验，有算法交付咨询或者技术能力相关工作经验优先。
3、能够深度分析、理解客户侧人工智能特别是机器学习需求、形成可落地的产品方案，出色的产品规划与沟通能力；
4、熟悉人工智能、大数据等技术，具有人工智能算法经验、算法落地项目经验优先；
5、熟悉工业的业务模式，具有能源行业的人工智能技术咨询或业务产品推广方面经验优先；
6、具备优秀的逻辑能力、学习能力、产品感优秀，具有现场算法交付实施落地经验优先；
5、负责任、学习能力强，需要很好的适应能力与抗压能力，能够融入快节奏的产品团队；
6、优秀的方案、文档撰写能⼒，熟悉产品流程设计和交互式设计⼯具；
7、有过从0-1的产品项目经验优先；
8、认同公司的价值观与核心理念",,"['5-10年', '本科']","['B端产品', '大模型']","['计算机软件', 'B轮', '500-999人']",,https://www.zhipin.com/job_detail/0f19080309ea9dcc1HN73921EFRV.html?lid=4XV8jKFb6j0.search.7&securityId=-HuYHSi9kBuSX-k1EdlPi11qd7fglHniLjnelhwygbBADYNiJyEw980I4mvJmKNcp4_q6AStx5h1RGGIkZrNKcEut-mxtQPKZJBq8bzfXYMSwBLgMF_sXA1KIBgroniqOpecEO9c7mqK&sessionId=,1
人工智能产品经理,15-21K,润建股份,广州·黄埔区·大沙,广州黄埔区云升科学园B2栋,节日福利，五险一金，零食下午茶，年终奖，带薪年假,"工作职责： 
1、负责人工智能算法相关项目策划，掌握前沿人工智能产品现状；
2、负责项目指南、可行性研究报告等材料撰写；
3、负责人工智能算法需求对接，熟悉部门与合作单位技术现状；
4、负责人工智能算法、大模型相关产品的规划、设计和流程管理等。
任职资格：
1、熟练使用流行大模型产品，包括但不限于Chatgpt、Claude、通义、文心一言、kimi等；
2、具备较强的文字功底，有论文、专利、技术文档的写作经验；
3、具备较强的理解能力，沟通及表达能力强，逻辑感出色，能快速梳理复杂的产品流程并能清晰抽象。
4、团队协作能力强，具备强烈的责任心和主动性。",,"['3-5年', '本科']","['机器学习类AI', 'B端产品', 'AI机器人']","['互联网', '已上市', '1000-9999人']",,https://www.zhipin.com/job_detail/162e4ec3330ae4cc1H1z2tu0F1dQ.html?lid=4XV8jKFb6j0.search.8&securityId=c7I06LNf3AhBj-B1vosiilH-Q_FgpkHFOMx5A5_cf5QecMo5JUBkvyG9j0105udyZLhUU3y03ZhSBTS8ZEW5B1JF0gb9CqhIws30bPiLWhgpjLQm_3T1t418dHngRWdJAi2TVwuP40Wj&sessionId=,1
AI产品技术顾问（南区）,18-25K,澜码科技,广州·天河区·棠下,广州天河区员村西街4号大院19号1055房,带薪年假，年终奖，五险一金,"岗位职责：
1. 通过和客户的交流，深入分析业务场景，识别、引导和把控用户需求，解构出AI产品的搭建方向，完成产品的搭建和优化；
2. 负责跨部门协调和沟通，与销售和交付团队合作，完成POC项目，为项目的成功交付输出技术方案；
3. 与产品团队合作，参与公司AI相关产品的建设。
任职要求：
1. 本科及以上学历，计算机、通信、人工智能等相关专业，3年以上AI to B 解决方案或产品经理经验者优先；
2. 熟悉 Al 大模型和技术，包括但不限于大语言模型，自然语言处理，计算机视觉，深度学习等，有大模型项目研发、推理调优加速、知识库及agent 相关项目实战经验者优先；
3. 具有优秀的 Al 大模型产品规划、设计、项目落地能力，具备良好的数据敏感度、业务视野及调研分析能力，能够敏锐的洞察行业客户需求和产品机会。
4. 具备较强的团队协作和沟通能力，能够跨项目、跨部门协同沟通（销售、产品、研发、测试、交付等），能够争取到足够的资源，形成合力推进项目落地；
5. 工作主动积极，能承受工作压力，强烈的进取心和产品主人翁意识，思维活跃，学习能力、适应能力强。",,"['3-5年', '本科']","['B端产品', 'AI产品', 'rag', 'agent', 'POC']","['计算机软件', 'A轮', '20-99人']",,https://www.zhipin.com/job_detail/3fec45dea669af2b1Hx-0ti5FlZY.html?lid=4XV8jKFb6j0.search.9&securityId=aYeAArRCzJNGt-11jI_9NwK4mfDEyU1xwKBMnSAsVhnwlfvcjDzFsyjcJk9yfu3cn6nZxFyWwffiNhaAam1z8LOzxYOxbiGLLDkFD-oDuvQy-9uuf1_O7mN-q4o_vVwmq5JrMUfxcG3PlA~~&sessionId=,1
AI产品经理,15-25K·16薪,某大型游戏公司,广州,,节日福利，定期体检，五险一金，年终奖，员工旅游，餐补，带薪年假，包吃，全勤奖，零食下午茶,"岗位职责：
1. 进行用户行为数据分析，识别用户需求和行为模式，并将结果应用到产品优化中；
2. 负责智能聊天机器人产品的规划、设计、开发、上线和持续优化；
3. 制定项目计划和时间表，跟踪项目进展，确保项目按时高质量交付；
4. 收集和分析市场信息，了解行业动态和竞争对手情况，提出产品发展策略。
任职要求：
1.本科及以上学历，计算机科学、人工智能、数据科学、信息技术、数学或相关专业；
2. 3-5年产品策划经验，有成功上线并运营AI产品的项目经验。具有AI产品或用户行为分析相关经验者优先；
3. 熟悉大语言模型，多模态，Rag 等AI技术
4. 强烈的责任心和自我驱动力，具备优秀的团队合作和沟通能力。
加分项
有以下行业经验：互联网·游戏·计算机软件",,"['3-5年', '本科']",['AI产品经理'],"['游戏', '不需要融资', '500-999人']",,https://www.zhipin.com/job_detail/653ecebeea25cb481Hx52965GVNT.html?lid=4XV8jKFb6j0.search.10&securityId=BetP3JAoNzCs_-p1zFjqiIxJVFzMPdBaMCAgpQVwYBhK0YIco-fUkIa5NZsm5rRFbIjY12KduLFgzaqa9AuFwubl-vxvPUtM5FdGunIZVosBmWDTCjMvKpJg4hmMLVgkzImwR-z6-0MPog~~&sessionId=,1
