title,salary,company,location,work_address,brief_description,job_description,job_requirements,requirements,tags,company_info,company_description,link,page
应用视觉AI产品经理,18-30K·16薪,某大型互联网综合服务平台上市公司,杭州,,餐补，员工旅游，五险一金，补充医疗保险，股票期权，免费班车，年终奖，交通补助，节日福利，零食下午茶,"任职要求：
1、本科及以上学历，计算机相关专业。有工业设计、交互设计等美学经验者优先。
2、具有2年以上互联网行业或人工智能行业的产品经验;
3、具备快速学习能力，良好的逻辑思维能力，分析与洞察力，解决问题能力，团队合作精神;
4、较强的表达与沟通能力，独立产品规划与设计能力，能够快速完成复杂业务逻辑的梳理与落地;
5、对人工智能相关产品有强烈的兴趣，关注行业动态，具备人工智能基础知识者优先。
岗位职责：
1、负责驱动包括但不限于人物动态视频、风格化图片视频、图视频智能编辑、交互数字人等视觉算法能力的孵化和可用性评测，确保技术成果能够有效转化为商业价值。
2、负责通义视觉产品形态的体验、研究、设计与落地。确保产品满足用户需求，提供卓越的用户体验。",,"['1-3年', '本科']",['AI产品'],"['互联网', '已上市', '10000人以上']",,https://www.zhipin.com/job_detail/ec25bf7c30240a691H173t-9GVFT.html?lid=50qaHoA87dE.search.1&securityId=oPkAn120UehvW-g1MCHW-VRaDk_WjP1h1dycZabS_YvwaeeRQ25GFvPKK97ORzkHMvyM0QD-ASnWObDukDXS5ZYTttLgcpmcdMkdmEu-dLb_nd-GWPKUlLRxeD1h0PE-5JaQfrc~&sessionId=,1
AI开放平台产品经理,15-30K,某中型计算机软件公司,杭州,,,"工作职责
1、负责公司AI开放平台建设。跟踪行业动态发展，结合公司战略目标，确定产品定位及平台规划。打造完善、高可用、低门槛的一站式AI能力生产中台。
2、通过用户回访，竞品分析，平台运营分析等手段，明确平台版本迭代计划。撰写PRD，定义产品功能实现方案，持续提升产品用户价值。
3、负责平台埋点方案设计及推进，主导平台数据运营分析，驱动产品及运营工作的迭代优化，保障产品商业价值实现。
4、围绕AI能力开放，负责内外部生态的建设和发展，运营并精细化管理重点生态伙伴。
5、跨部门协调各资源团队，保障产品版本如期发布。
任职资格
1、具备优秀逻辑思维能力，具备独立思考及快速学习能力。严谨，耐心，追求卓越。
2、结果导向，主动性强；具备目标拆分能力，熟悉产品研发设计流程；
3、较好主导意识及协调推动能力。
4、具备Saas、Pass产品经验者优先。
5、5年及以上工作经验，至少3年及以上AI产品经验。",,"['3-5年', '本科']",['AI产品'],"['计算机软件', '500-999人']",,https://www.zhipin.com/job_detail/33e60b52a3db4d8c1HNz3tm5E1dZ.html?lid=50qaHoA87dE.search.2&securityId=TgouTC_o3pbMi-_1kRDsuRu0SO1TyWTNhe1cKWSk1GXCDWUaljIpJyjKm95kdiXgoMRAIRqDb5qJk-4DD5HlNNrmYK4WI1yt75Wn0C02p6qLcDoAiCf02nnOn49Zi92OhgNjVHcmp1qBsEORVX5ILkYn77mCNQ25shWDZN6EENKkARMf2w~~&sessionId=,1
AI平台产品经理,20-25K·14薪,某大型互联网公司,杭州,,绩效奖金，企业年金，带薪年假，高温补贴，团建聚餐，五险一金，补充医疗保险，高温补贴，定期体检，绩效奖金，餐补，年终奖，免费班车，团建聚餐，绩效奖金，意外险，企业年金，意外险，生日福利，交通补助，团建聚餐，企业年金，补充医疗保险，补充医疗保险，节日福利，意外险,"工作职责：
1、负责公司AI开放平台建设。跟踪行业动态发展，结合公司战略目标，确定产品定位及平台规划。打造完善、高可用、低门槛的一站式AI能力生产中台。
2、通过用户回访，竞品分析，平台运营分析等手段，明确平台版本迭代计划。撰写PRD，定义产品功能实现方案，持续提升产品用户价值。
3、负责平台埋点方案设计及推进，主导平台数据运营分析，驱动产品及运营工作的迭代优化，保障产品商业价值实现。
4、围绕AI能力开放，负责内外部生态的建设和发展，运营并精细化管理重点生态伙伴。
5、跨部门协调各资源团队，保障产品版本如期发布。
任职资格：
1、具备优秀逻辑思维能力，具备独立思考及快速学习能力。严谨，耐心，追求卓越。
2、结果导向，主动性强；具备目标拆分能力，熟悉产品研发设计流程；
3、较好主导意识及协调推动能力。
4、具备Saas、Pass产品经验者优先。
5、全日制本科以上学历，5年及以上工作经验，至少3年及以上AI产品经验。",,"['3-5年', '本科']","['B端产品', 'AI开放平台建设', 'Saas', 'AI产品', 'AI能力生产中台', '']","['互联网', '不需要融资', '100-499人']",,https://www.zhipin.com/job_detail/f7f50fd2f14c4e7d1HNz3d6_ElRR.html?lid=50qaHoA87dE.search.3&securityId=kAWEsqtUjs4bW-R1odU55M_y5JYUj9r0cvCP-9UMa652FMOTdeL7lSHRawsSc_96QfbAYSjV53g7UUmv_uzLkAjg4_bsATiZO5GzkAV-SaLw0saufo9DzEfWfx3Wmvck1HgK805XKdVFzY0qNQ2xgGz_HSZQrTk6bYJFMBNy4E7A1ugy&sessionId=,1
ai产品经理,20-40K·16薪,深图智能,杭州·余杭区·仓前,杭州余杭区EFC欧洲中心T9-2301,交通补助，餐补，五险一金，带薪年假，团建聚餐，零食下午茶，免费工装，年终奖，生日福利，股票期权，节日福利，员工旅游,"职位描述：
1、负责服装领域深度结合AI领域的产品设计，契合用户诉求；
2、对人工智能、生成式模型、Diffusion模型有较好理解，结合产品和技术的力量，打造业内领先的智能产品体验。
4、结合业内最新发展趋势，积极思考和探索服装+AI未来产品形态；
5、协调内外部资源，积极驱动及协同研发、运营等相关部门，有效推进并解决问题，保证项目高质量落地。
职位要求：
1、全日制本科及以上学历，1年及以上工作经验，有AI领域产品或服装行业领域有经验者优先；
2、对AI Native产品的运转逻辑、需求理解及满足方式等有较好的理解；
3、对业务有深入思考，对服装行业的生态运转有深刻理解，具备良好的独立规划及拆解能力；
4、具备较好的审美和交互设计能力，注重用户体验，有1年以上C端产品经验优先；
5、具备较强的逻辑分析能力、产品策略判断能力以及跨团队协作能力。",,"['3-5年', '本科']",['C端产品'],"['计算机软件', 'A轮', '20-99人']",,https://www.zhipin.com/job_detail/4dba56c06f4412b81HJz29q6F1FR.html?lid=50qaHoA87dE.search.4&securityId=1rMqW4BspFKEW-Y1YPVqJW3HhrLnWcwEzMJmsiANq7vGDcCw3bvmOpkZak1V5m-T2c57G8kg1SI28R1MkXbv7PeaXjlRpjAJVGxzURWPa79Jz7nE8sFEwkZdmJTyXkKsz_fmsqCVjOs~&sessionId=,1
AI开放平台产品经理【国企.工作轻松】,23-35K,某大型互联网央企公司,杭州,,生日福利，定期体检，节假日加班费，年终奖，五险一金，带薪年假，法定节假日三薪，补充医疗保险，加班补助，通讯补贴，节日福利,"岗位描述：
1、负责公司AI开放平台建设。跟踪行业动态发展，结合公司战略目标，确定产品定位及平台规划。打造完善、高可用、低门槛的一站式AI能力生产中台。
2、通过用户回访，竞品分析，平台运营分析等手段，明确平台版本迭代计划。撰写PRD，定义产品功能实现方案，持续提升产品用户价值。
3、负责平台埋点方案设计及推进，主导平台数据运营分析，驱动产品及运营工作的迭代优化，保障产品商业价值实现。
4、围绕AI能力开放，负责内外部生态的建设和发展，运营并精细化管理重点生态伙伴。
5、跨部门协调各资源团队，保障产品版本如期发布。
岗位要求：
1、具备优秀逻辑思维能力，具备独立思考及快速学习能力。严谨，耐心，追求卓越。
2、结果导向，主动性强；具备目标拆分能力，熟悉产品研发设计流程；
3、较好主导意识及协调推动能力。
4、具备Saas、Pass产品经验者优先。
5、5年及以上工作经验，至少3年及以上AI产品经验。",,"['3-5年', '本科']","['数据产品', 'AI产品', 'Pass产品经验', 'Saas经验']","['互联网', '不需要融资', '1000-9999人']",,https://www.zhipin.com/job_detail/abc90d23c977a8e01HNz3dW8EFRU.html?lid=50qaHoA87dE.search.5&securityId=BnSsX6hY6YgS8-11PV-nOgRdVu8Bks0YTdOd5wt-HpW1ocUyntXSC0leiWbbS9h63-SxBUYwKTgxXI15kAwq48yOF01DhsXu8ek5f2SjcBo0SXe349NflpdpYJ7X3ANrgVRUSQ_gjR2JbQ~~&sessionId=,1
产品经理/AI/智慧城市-杭州,25-35K·14薪,某大型计算机软件及人工智能技术上市公司,杭州,,五险一金，定期体检,"1、通过产品/市场调研发现并深入挖掘商业利润或用户价值增长点，提交相关报告及总结；
2、主导设计商业策略（包括设计关键价值及特性竞争壁垒，营销推广策略，投入策略与产出规划）；
3、独立带领团队完成大型项目整体产品设计工作；
4、主持产品孵化、研发、发布全生命周期的需求管理工作；
5、主导并实施产品营销和推广策划报告；
6、主导或作为核心成员参与商务谈判；
7、主导知识产权（专利，商标，著作权等），项目申报，奖项申报，行业标准申请等工作。
工作要求
1-具备一定的产品规划能力；
2-具有中台产品（数据中台、业务中台、AI中台）经验优先；
3-能够独立与客户交流、沟通、汇报，逻辑思维清晰；
4-具备智慧城市行业经验优先考虑；
5、本科及以上学历，5年以上产品经验，了解国家政策和行业发展趋势，清楚智慧城市项目特点、流程及相关政策、法律法规；具备计算机、软件工程、心理学等相关专业优先；
6、有较为丰富的产品规划理论和实践，熟练掌握多种客户项目需求优先级与迭代管理手段与分析方法；
7、善于发现产品创新需求，并能从业务的角度提供方案建议；
8、具备较强的协调能力和沟通能力，能独立谈判，不断调整策略方式，达成目标；
9、具备较强的产品文档编写能力、PPT制作能力和良好的口才演讲汇报能力；
10、具备大数据、人工智能等方面工作经验优先。",,"['5-10年', '本科']","['AI产品', '中台/后台产品', '智慧城市', '大模型', '政务大数据']","['计算机软件', '已上市', '10000人以上']",,https://www.zhipin.com/job_detail/e9821cc1c078a0861H1_3du_ElJT.html?lid=50qaHoA87dE.search.6&securityId=a7guVMdCIVSYG-_1R1zcDEYZLFQ1DSq7-DIDx-jUOK8tSEUMkSUj4r7nUqvG3GnF1RZ0_DT7BnYOf6kLChA5VKi4urg_EEJ_AAMtgnTbezbsI7IRt0mWVgu7MFte_5mj_srxA88IyFryPFobF_JYdJ6rKNX42qIrbjgPpd1Vkg_m2A~~&sessionId=,1
AI产品经理,15-25K·13薪,某大型互联网公司,杭州,,定期体检，五险一金，股票期权，补充医疗保险，年终奖，员工旅游，零食下午茶，餐补，健身活动，节日福利，带薪年假,"岗位职责:
1.负责海外AIGC视频编辑器和生成类功能的用户调研、功能设计和体验优化，完整经历用户调研，需求分析，方案设计，数据分析，迭代优化；
2.Al内容平台的搭建，和多方协同，做好AI内容后台的支撑；
3.定期调研市场和最新的AI竞品，提出有建设性的方向和建议，推动产品核心数据上升；
岗位要求:
1.本科以上学历，2年以上c端或游戏产品经验，有出海工具类产品经验加分，有ai产品经验加分;
2.有同理心，有经历过至少一个产品模块的用户调研、需求分析、设计和迭代，具有较强的逻辑能力；
3.掌握常见数据分析方法;
4.有比较好的英语能力，能够快速了解海外市场信息，玩IG、TT、Twitter等媒体有加分，有自媒体和营销相关的经验加分；
5.对AI有比较大的热情和了解，有一定审美，有技术背景加分；
4.有良好的沟通能力，与增长、运营、内容、研发等部门通力合作;
5.自驱力强、愿意不断学习；",,"['经验不限', '本科']","['C端产品', '视觉类AI', '语音类AI']","['互联网', '不需要融资', '100-499人']",,https://www.zhipin.com/job_detail/2adbf89e93bd155f1HJz0tW1GFpR.html?lid=50qaHoA87dE.search.7&securityId=2rGRWTUAFK1NV-01oyjcjkkUsJvhqCISRkquh_xqBSzT8-1kLsGZKMV6SAqhJjhm7XUH_EMy0B_T1dyeTVe-RsRXl5my_5plCjN3Z4Tgj3RWTUjBnnIfG1RlWR9HwPDaqJsjdhCHP_Xi&sessionId=,1
b端产品经理,25-50K·15薪,某大型互联网上市公司,杭州,,健身补贴，定期体检，带薪年假，年终奖，节日福利，零食下午茶，员工旅游，交通补助，五险一金,"岗位职责：
3年以上TO B软件类的实际经验
对视频/图像AI类比较感兴趣比较有实际的产品项目经验
有0-1的B端商业化项目，看重看重人选的商业化sense",,"['3-5年', '本科']","['B端产品', 'AI产品']","['互联网', '已上市', '500-999人']",,https://www.zhipin.com/job_detail/fc995e539dd4d8871H1809W-GFJS.html?lid=50qaHoA87dE.search.8&securityId=qabaKXvJMRMKc-l1QUJG8JNHIEV61XsDmYc51aQQqXGpQSQLvlavG6BmBlapksppdLQSD2CVZFCQ5LlIRH32Vt_WNNDNLCkPC4fzdZo9NivYTqjErCFdAS11ZH4CP8DJd2WugzrrrNo~&sessionId=,1
AI SaaS 产品经理,20-30K·13薪,Whale 帷幄,杭州·余杭区·仓前,杭州余杭区浙江大学校友企业总部经济园1期A7,五险一金，年终奖，餐补，包吃，定期体检，零食下午茶，通讯补贴，带薪年假，员工旅游，交通补助，节日福利，住房补贴，股票期权,"关于职位
Whale 帷幄期待您作为Saas产品经理加入我们。您将汇报给产品线负责人，负责Whale 帷幄Saas市场调研、竞品分析、产品规划、产品设计，推动研发落地等各项工作。
如果您对于to B类型的业务平台有很深的理解，期待有挑战性的工作，有强烈的创新意识并乐于合作，这个职位将成为您的最佳选择！
 
该职位通常可能涉及一定的差旅，与新零售或Saas各类客户进行沟通互动。
 
岗位职责
1. 具有前瞻思维，结合CV算法、知识图谱或其他新技术，负责线下商业空间智能化场景应用及相关系统，包括但不限于智能巡检、智能客流、商品互动、商品陈列等数据采集与应用。
2. 以用户视角，打造空间智能平台产品，包括智能巡检、客流分析、行为轨迹、工单任务等
3. 敏锐的商业 Sense，捕捉业务切入点软硬件结合，规模化落地并具有商业价值。
4. 作为产品经理，负责制定产品需求调研、竞品分析、产品设计，准确把握业务发展趋势及用户需求，合理安排优先级，协同上下游业务，以平台化及数据化的视角持续打造产品核心竞争力。
5. 紧密协同研发及业务团队，整合内部中台产品资源，高效达成产品和业务目标
6.   负责产品相关的日常运营工作，产品运营数据分析，推广活动执行等  
 
 
任职要求
1. 本科学历及以上，新零售或智慧商圈行业经验优先考虑，3年以上产品设计经验。
2. 有0-1的平台型产品设计及落地经验，快速学习能力。
3. 敏锐的商业Sense和创新性，AIoT硬件结合商业场景并规模化应用，有商业化的优先考虑
4. 能够挖掘和引导用户的潜在需求、问题，通过需求分析，市场与竞争对手分析等，规划和设计相应产品。
5. 有很强的产品 owner 意识，对所负责的产品有严格的体验要求，良好的自我管理能力，环境适应能力和执行力，能较大压力下保持工作激情
6. 理解敏捷开发流程，具备项目管理、需求分析、高质量文档编写、demo原型设计等基本文档输出能力
 
评估维度
- 用户价值设计
- 商业价值设计
- 行业价值设计",,"['3-5年', '本科']",['B端产品'],"['大数据', 'C轮', '100-499人']",,https://www.zhipin.com/job_detail/4f036020f884c2fe1HN53dW9GFJX.html?lid=50qaHoA87dE.search.9&securityId=oW1NDfZUKYiQp-i1WD6xXf7sC8iBNrF8GMCxRBB2kxtQMwyOnY0RnUrrENMTZ8kGJaDRjyBP44Sp2ndspXu3Jbau-USXE69H9vhb6tcmrMkeZcfJ5RnQmDIAasEqmAA0dpjgcTVwna9S&sessionId=,1
AI产品经理,15-30K,浙江莲花紫星智算科技,杭州·西湖区·西溪,杭州西湖区西溪银泰城(西北门)西溪,,"本岗位toC面向终端用户
1、负责""紫星AI""小程序的整体运作，制定季度/年度目标、规划实现路径，达成各阶段的留存和营收指标，对结果负责；
2、根据公司业务需求制定产品的发展规划和策略，包括市场调研、竞品分析、产品定位、产品设计、盈利模式、推广计划等。
3、负责业务线新产品的规划、原型设计、撰写产品需求文档；
4、推进产品开发、测试、版本管理、评审发布、产品上线等各个环节，保证产品及时高质量发布上线，并跟踪相关上线数据及相关需求，持续迭代；
5、完善产品数据漏斗模型与用户研究，收集市场需求、用户评价以及竞品动态，应对市场竞争不断优化产品，响应市场变化，提升用户体验；
任职要求：
1、本科及以上学历，5年以上互联网产品相关工作经验，熟悉AIGC/ChatGPT/Stable Diffusion者优先；
2、有AI虚拟社交类海外产品或AI图像写真类海外产品经验，擅长运营端的裂变；
3、具有敏锐的市场判断力和成熟的产品运营规划，有成功的产品案例，对AIGC有热忱，有较好的创业心态。
4、有产品之外的商业化和用户增长的能力和经验者优先，有百万以上工具类的成功经验者优先；
5、有过成功参与或主导AI产品开发的经历，能够展示在AI产品规划、设计、实施和推广、商业闭环等方面的能力。对AI技术在不同领域的应用有实际案例支持，能够根据不同业务需求选择合适的AI技术和解决方案。",,"['3-5年', '本科']","['机器学习类AI', 'C端产品', '语音类AI', '语义类AI', '视觉类AI']","['互联网', '20-99人']",,https://www.zhipin.com/job_detail/ce9c22ecc1e5a3781H1z2dS-F1dS.html?lid=50qaHoA87dE.search.10&securityId=Slrzb8k5O2dvK-i1QnvEg0QrZhApmTV0__K21W9JY4mutTskn5sascg7_xPJ5WsW5zI2MywK66om3TDsUAKgCwF4iM7IB-d6twshb1PoKzYOxAvGgNus_X86Om06cLjDVO5UBtWTwb8i&sessionId=,1
