title,salary,company,location,work_address,brief_description,job_description,job_requirements,requirements,tags,company_info,company_description,link,page
产品经理（AI医疗）,15-30K,开远科技,深圳,深圳福田区北方大厦1301,定期体检，五险一金，全勤奖，员工旅游，带薪年假，节日福利,"岗位职责：
1.负责SAAS产品的需求调研、需求收集、需求分析、产品设计、设计跟进、产品验收等工作，确保产品符合业务需求。
2.梳理产品方案，输出产品的MRD、PRD，并推动实施过程中方案的功能说明和全流程交付质量控制，提供综合产品设计方案。
3.负责用户画像，数据分析，决策匹配，持续优化产品功能和用户体验。
任职要求：
1.具备强烈的责任心和进取心，积极主动，能承受较大的工作压力。
2.具备较强的逻辑思维能力、分析加工能力和敏锐的市场洞察力。
3.有互联网产品经验，对医疗健康产品的运营有深刻理解，同行业背景者优先考虑。
4.熟悉医疗信息化产品，对新技术有了解。
5.熟悉figma、Viso、Xmind、Sketch、Mindmanager、企业微信等工具，具备优秀的文档编写和演示能力。
加分项
有以下行业经验：互联网·医疗服务·政府/公共事业",,"['3-5年', '硕士']","['B端产品', '985', '健康管理', 'AI产品', '策略产品', '慢病']","['计算机服务', '未融资', '0-20人']",,https://www.zhipin.com/job_detail/e70583087ff9a8791Hd60t64FlFQ.html?lid=52dl1bxqG9E.search.1&securityId=xL1sADRm2cSBm-c14wYLj553Oy6RUNR9v7MjplfAP6Kni9VEic6hyz6V6DGETH4mbYXJOnkviKq2lA4465dk8VESgpL6YRTArmKHJMSAYjVje10SrpHRlPJ2PsN1W9b8sQiCDS0M_cQ~&sessionId=,1
ai产品经理,15-25K,云格智能,深圳·南山区·科技园,深圳南山区华润置地大厦D座5楼,五险一金，股票期权，生日福利，节日福利，节假日加班费，年终奖，全勤奖，团建聚餐，法定节假日三薪，带薪年假，保底工资，工龄奖，加班补助，员工旅游，绩效奖金，底薪加提成，夜班补助，企业年金,"该职位是为出海AI产品（工具方向）招募，此产品已拥有数十万海外高质量用户。这将是一个打造自己想使用的AI产品的机会。
【职责】
1. 独立负责 AIGC 的产品相关事宜，包括但不限于产品规划、需求调研、设计方案等；
2. 针对产品当前定位，能够继续挖掘用户需求并拓展新需求，规划产品路径，输出高质量的产品原型；
3. 关注国内外前沿的 AI 生成模型及产品最新动态，能够及时对 AIGC 领域的技术产品和应用进行市场调研和趋势分析。
【要求】
1. 本科及以上学历，理工科背景优先，具有AI应用领域的产品经理工作经验者优先；
2. 产品基础扎实，具有产品设计、应用及项目实践经验，即使不是AI的产品经验也可；
3. 思维清晰，表达力强，具备良好的团队合作精神，能有效整合各项资源以达成产品目标，具有创新精神，责任心强，执行力高；
4. 经常使用Figma，AI产品和英语读写流利者优先。",,"['1-3年', '本科']","['C端产品', 'B端产品', 'AI产品', 'ERP产品/软件产品']","['计算机软件', '不需要融资', '20-99人']",,https://www.zhipin.com/job_detail/48db030c4b6920b81HJ-3dy4FVdX.html?lid=52dl1bxqG9E.search.2&securityId=DyrbjToGkZ0l1-r1Lfl0ySknJDl7d0u78k92pcp7cUGNqZvA54HzJLmwUQyVtmf7GoWUVK4dDljnkbgphCV5St9zVRiMx8CBSlrQVcAmik8ZA-x2bV9UVnALJEfEGNJl-aRR29sM9w~~&sessionId=,1
AI产品经理,15-30K·16薪,塞防科技,深圳·南山区·西丽,深圳南山区深圳南山智园B区1栋4楼,年终奖，生日福利，餐补，高温补贴，节日福利，绩效奖金，交通补助，五险一金,"工作职责：
1、负责根据集团信息化年度规划，制定AI领域信息系统的年度工作计划及中长期发展规划，推动IT战略规划的落地实现；
2、负责与各业务部门共同制定AI领域年度建设计划，提升领域信息化成熟度；
3、负责AI领域信息系统建设，保障项目按里程节点推进，确保项目目标实现；
4、负责制定AI领域信息系统相关体系的建设，并跟踪检验体系建设落地效果；
5、负责AI领域信息系统运营，确保信息系统与业务深度融合，信息系统安全、稳定和高效运行；
6、负责AI团队的日常管理和培训，提高团队的整体运营水平；
7、跟踪和研究AI领域的新技术和发展趋势，为业务提供创新性的解决方案。
任职资格：
1、本科及以上学历，计算机相关专业优先；
2、3年及以上AI领域工作经验，需具备：
（1）数字化知识：精通汽车行业AI建设及应用的规划，建设及运营工作，有完备的数字化财经全局规划思路；
（2）数据分析知识：能够熟练运用数据分析工具进行数据处理和分析，为公司提供数据驱动的运营决策支持；
（3）项目管理知识：精通项目管理的基本流程和方法，包括项目计划、执行、监控等方面的知识，以确保项目的顺利实施和达成预期目标。
3、技能要求：
（1）具有很强的事业心，有良好的团队协作精神和服务意识，工作严谨负责；
（2）具备良好的信息敏感度，能够抓住时事进行热点创新，创造优质内容；
（3）具备出色的问题解决、结构化分析、逻辑思考能力，能快速有效地解决业务数字化转型过程中所面临的复杂问题，强有力推进战略目标；
（4）具备较强的沟通协调能力，能够跨业务、跨部门、跨团队开展高效沟通和协调；
（5）具备良好结构化思考与规划能力、总结和汇报能力；
（6）具备强大的自学能力，能够持续学习新知识，跟上行业发展的步伐。",,"['3-5年', '本科']","['B端产品', 'AI机器人']","['信息安全', '天使轮', '100-499人']",,https://www.zhipin.com/job_detail/6f323dcca36f4fbc1Hx-3tq0EFBV.html?lid=52dl1bxqG9E.search.3&securityId=35lP3ys9FHgoj-g1Lloo_PcIfXodt7w5Iz7Yz0vuu6kKKLGTFSt-1qVo9aqOGHqIUCduaFcxfX5PoIVZfo2jvP7Nt3CQDIXS4AeFzu74B7MOTqlXVHbZvyp8BjtXmRMIMtX1FvyWOY6kvm_INgzE_zGkKt99TD4Ctk7_I1FH54f4aZ8o&sessionId=,1
AI产品经理,12-20K,乔安,深圳·龙华区·民治,深圳润鸿国际润鸿国际B座15层2-57号,节日福利，加班餐，五险一金，宿舍有空调，股票期权，带薪年假，年终奖，团建聚餐，工龄奖，通讯补贴，员工旅游，包住，绩效奖金,"岗位职责：
1、负责安防监控产品(摄像头等)的AI应用场景研究、规划；
2、负责将C端用户场景需求转化为AI算法产品设计或解决方案；
3、协调项目、研发、算法、设计等同事，实现具体产品设计并不断完善提升；
4、深入市场调研和用户调研，跟踪市场动向，及时调整产品方向。
任职要求：        
1、本科及以上学历，3年以上产品工作经历，计算机、电子、数学等相关专业优先，有视觉类AI产品经验者优先；
2、逻辑清晰，乐于分析事物本质，擅长系统地解决问题；
3、对AI视觉类算法有深刻的认识，熟悉热点领域和主要产品形态，有良好的视野、商业意识；",,"['3-5年', '本科']","['智能穿戴', 'C端产品', '智能家居', 'AI机器人', '语音类AI', '', '']","['计算机软件', '未融资', '1000-9999人']",,https://www.zhipin.com/job_detail/5e9a042eaac298761H1_3dW-EFRQ.html?lid=52dl1bxqG9E.search.4&securityId=QRcUzcnwXW5Y4-S1UqJdH2nO0b8oST-5XSsG2Hr2-fH7HV3WJAmzp2BYktzaYItXuKaoBq2_mYp19x4V1rZjrJMMCo6KdANyECL60Y1BZ0hGHJ5pySZ-7K89MIn6sVNTtzQueppZPkKJ0pLKg0HRXk2EYZ_kJwwSzbpDkXq8gVxZB1M~&sessionId=,1
AI产品经理,12-15K·15薪,辛恩励科技有限公司,深圳·南山区·前海,深圳南山区卓越·前海壹号A座,五险一金，股票期权，零食下午茶，带薪年假，交通补助，年终奖，生日福利，餐补,"职位描述
1.主导AI软件产品全生命周期，涵盖需求分析、规划、开发、测试上线与运营维护，负责各阶段风险管理与问题解决，确保项目按计划推进
2.与内部各部门紧密协作，梳理业务痛点并转化为产品需求和功能特性，定期组织跨部门会议促进沟通，提升协作效率
3.制定详细产品路线图，明确阶段性目标与关键里程碑，跟踪市场表现和用户反馈，推动产品迭代优化，确保按时交付
4.协调技术及相关部门，推动产品开发落地，建立并维护产品质量标准和性能指标，定期开展质量检查和性能评估，保障产品质量和性能
职位要求
1.自我驱动力：具有强烈的自我驱动力，能够在无监督的情况下主动完成任务，达成目标
2.主动性及持续学习：具有高度的主动性，愿意不断学习和提升自己，积极参与团队合作，持续接受培训，跟上技术发展的步伐
3.执行能力：具备出色的执行能力，能够将想法转化为实际行动，并以解决问题为导向
4.逻辑思考能力：具备优秀的逻辑思维能力，能够在快速变化的创业环境中适应变化，找到创新的解决方案
5.工具使用能力：熟练运用常见的项目管理、产品设计及代码管理类工具（如Jira、Trello、Asana、Axure、墨刀、Git、SVN等），具备出色的文档撰写能力，能清晰准确地表达产品需求和设计方案，输出高质量产品文档
6.加分项：有内部工具类或企业级软件产品经验、成功的AI产品案例，有团队管理经验，熟悉AI大模型开发者优先",,"['1-3年', '本科']",['B端产品'],"['智能硬件', '天使轮', '0-20人']",,https://www.zhipin.com/job_detail/5924effa8d6669e01H1939m7EVdS.html?lid=52dl1bxqG9E.search.5&securityId=ho4AyAWJ7hGSH-61bggFjB4q5IKGz3w8inu4_525TMaNFxerEJ_yVxC09XgspFpj97_9qu2aR7DexPGKZCp1jJoX-gOE3-u43hWCLcCRU_E59Pd7DdnB5HM1gX0hCy_iUGpG5QNMAfgCMQ~~&sessionId=,1
AI产品经理,18-25K,星创,深圳·福田区·车公庙,深圳福田区海松大厦A座13A07,全勤奖，定期体检，带薪年假，年终奖，生日福利，节日福利，零食下午茶，五险一金，企业年金，绩效奖金，团建聚餐，加班补助,"岗位职责：
1、根据公司业务方向完成项目的调研和立项准备工作；
2、跟进验收新UI与开发需求，把控开发进度，推动落地；
3、按需对线上产品的迭代需求进行跟进与验收；
4.   根据指标要求，持续对产品进行调优。
岗位要求：
1.3年及以上web端或app端产品经理经验；
2.拥有滤镜相机/AI图片生成/社交/AI聊天工具等产品经验；
3.熟悉stable Diffusion优先；
4.抗压能力强，能接受必要加班。",,"['3-5年', '本科']","['C端产品', '视觉类AI']","['计算机软件', '未融资', '100-499人']",,https://www.zhipin.com/job_detail/e013e3baf23f485b1HB63dm_FlRS.html?lid=52dl1bxqG9E.search.6&securityId=0JYt_S6nxETqV-d19PgAzDMqQbv984FGHQ_756Uh8rZh6GIozIAYojnAevnmxTbhio3hCKqN3qVXyPT7dCHXFahB_OJFBoR-HmdpUpFWQYn6xO3EYisnoACtFNUyCTtMnCT_BUqcg_U~&sessionId=,1
ai产品经理,25-50K·14薪,比亚迪汽车工业,深圳,深圳龙岗区智慧家园3栋A座201,通讯补贴，绩效奖金，零食下午茶，带薪年假，餐补，住房补贴，周末双休，工龄奖，定期体检，五险一金，包住，团建聚餐,"负责AI产品的规划、设计与优化，深入了解用户需求与市场需求，将AI技术与业务需求相结合，推动产品创新。负责产品生命周期管理，包括需求分析、产品设计、项目推进、团队协作与效果评估。需具备技术背景、创新思维和出色的沟通协调能力。
包括以下方面：
1.负责AI产品战略规划和长期目标设定。
2.深入理解AI技术，负责产品技术选型与架构设计。
3.对接业务需求，将AI技术应用于实际业务场景，提升业务效率。",,"['经验不限', '硕士']",[],"['汽车研发/制造', '已上市', '10000人以上']",,https://www.zhipin.com/job_detail/adc6d80260ec94be1HJ_2t-7EVRW.html?lid=52dl1bxqG9E.search.7&securityId=bp0Ijs4T0SGyN-K1fPrl-Lz5jtA4z8s8ws-vYG6cAzOR9FVotlHqFMXIfAHuZcdu4mZxuZc6xz8BRLslF2pavm3e2A77lQd0hHbk4ny6kCn9sChUKVlxIgtTVFwneaAZknSIXo87WdayNw~~&sessionId=,1
ai产品经理,18-28K·13薪,无界未来,深圳·宝安区·西乡,深圳宝安区星通大厦33A层,年终奖，定期体检，员工旅游，意外险，带薪年假，团建聚餐，节日福利，五险一金，零食下午茶,"职位要求：
1.本科及以上学历，至少3年及以上产品经理工作经验，特别优秀的条件可放宽；
2.熟悉C端产品经理工作流程，包括不限于：市场调研、竞品分析、产品定位和策划、需求管理、项目管理、产品迭代改进、数据分析等，具备完整系统的产品方法论及落地框架；
3.以往工作经验中有人工智能相关的工作经验。对人工智能感兴趣且有研究的也欢迎；
4.有移动端APP出海经验，熟悉APP Store/Google Play应用市场；
5.具备良好的沟通协调能力、产品规划和项目推进能力，能够基于复杂场景独立实现规划设计、项目开发管理等；
6.有严密的逻辑思维能力，出色沟通表达能力，以业务结果为导向；
7.对创新产品有独特见解，能主动发现市场机会并以公司发展利益为核心，落实产品化相关工作。
加分项：
1.主导负责过从0-1-100的产品加分，AI相关成功的项目经验更好；
2.对算法和技术有一定理解力加分；
3.具有感知问题+解决问题的能力，愿意在遇到问题时积极主动寻求最优解。
岗位职责：
加入我们的团队，一同打造AI/AIGC在移动端落地的无限可能。
1.负责AI/AIGC相关产品的行业调研、市场调研、竞品分析、产品策划相关工作，探索产品方向、落地产品计划等；
2.跟进研发进度，结合产品的使用场景，输出相关改进意见，帮助算法侧进行算法性能、效果等方面的提升；
3.持续跟踪AIGC相关新技术、新产品、新场景，提炼可发展的产品方向或可运用到现有产品中的产品规划方案，保证产品执行落地，并负责迭代优化等相关工作。",,"['3-5年', '本科']","['机器学习类AI', 'C端产品', '图像处理AI', '产品落地经验', '']","['人工智能', '不需要融资', '0-20人']",,https://www.zhipin.com/job_detail/867ba183fdae3d701H1y29-8FVNW.html?lid=52dl1bxqG9E.search.8&securityId=t26LNYxgKKTm0-K1wZgPa669-tKJcUxHPp-jOFwmt5icCRrtdWBA95BQyhmkL2ObggE9hdjnlGX5Q8e6mt2ipcgie8pST7KmLZw0UN9LW-tcWo1KowVEtKryju3dmhONbL8JanCJiVxhjA~~&sessionId=,1
AI产品经理（双休+年终+大平台）,12-18K,博商管理科学研究院,深圳·南山区·蛇口,深圳南山区信利康大厦16楼,团建聚餐，通讯补贴，股票期权，员工旅游，定期体检，春节假期15天，零食下午茶，年终奖，节日福利，五险一金，带薪年假，意外险，全勤奖,"工作职责：
1. 产品设计与开发：制定并推动人工智能产品的设计和开发，确保产品能够满足企业用户和消费者的需求。
2. 技术熟悉：理解人工智能技术，对于大语言模型（LLM）或人工智能生成内容（AIGC）等领域有专业知识。
3. 市场调研：进行市场调研，了解人工智能技术的发展趋势，以及竞争对手的产品和服务。
4. 产品落地：具备成功将人工智能产品实际落地的经验，能够通过创新的方法推动产品在市场中的成功应用。
5. 团队协作：与跨部门团队协作，确保产品与公司整体战略一致。
任职要求：
1.产品经理工作经验7年以上，至少3年以上人工智能产品设计和开发经验。
2.具备丰富的人工智能技术知识，了解LLM或AIGC的发展情况。
3.在过去的工作中有成功将人工智能产品落地并取得市场成功的经验。
4.具有出色的产品设计能力和文档编写能力，有产品生命全周期管理落地的经验
5.出色的团队合作和沟通能力，能够与多个团队协同工作。
6.本科及以上学历，计算机科学、人工智能等相关专业优先。",,"['5-10年', '本科']",['B端产品'],"['培训/辅导机构', '不需要融资', '1000-9999人']",,https://www.zhipin.com/job_detail/2c6bbd4f7f3333401H1z3tu6ElRX.html?lid=52dl1bxqG9E.search.9&securityId=SYOby5MNGhTec-p1Mrff5_DriITCxoNPvqAwzRawvoTcI7zpuSJet39upW4zwBPkyke4PUd5kWw9WQGHozJy6RQ7X6oDq5nEhLXjz2GQWtJVqTGQ3fjQ1KyXZDy7OQeZOGJyY_9RKQ~~&sessionId=,1
AI语音产品经理,20-30K,某大型通信/网络设备公司,深圳,,,"岗位职责：
1、负责电视大屏场景中的语音NLP、大模型创新等功能及场景设计，协同团队落地特性；
2、基于用户行为、用户反馈及行业动向，定期输出需求洞察报告，规划创新功能特性；
3、负责输出基于大模型背景下的下一代大屏语音策略及交互方案；
4、负责模型及策略调优，持续提升语音用户满意度；
5、参与语音相关平台规划及定义；
岗位要求：
1、至少5年以上语音行业从业经验；
2、技术背景出身，且擅长搜索技术、语音NLP、云端平台、数据分析者优先；
3、对大模型有充足热情，对新技术及场景有强烈好奇心，保有钻研态度；
4、具备强大的沟通能力及逻辑思维，并具备独立解决问题的执行力。",,"['5-10年', '本科']",['C端产品'],"['通信/网络设备', '10000人以上']",,https://www.zhipin.com/job_detail/e9fde2ee82408ad91H1-3N24FFtR.html?lid=52dl1bxqG9E.search.10&securityId=CcYhL3YLwcNIr-U1LPfWP9fyMKO9x5jAlaMzBpWkjsslQuS_IuYjYtkr7imupmezSDi2WOdI0v0-Dc591ai92FxqwCucibJeVrm4snwIYiDWTqhfWX_lE9cmB7UZk-_0wQiPZhPdcr2Mm684vOBWBUdxF6KwrSkNiTopk9if1lAWvRADAA~~&sessionId=,1
